Süre;Uzama;Gerilim 1;Yük
(sec);(mm);(mm/mm);(N)
147,0;9,16;0,0110;16188,5262
147,2;9,18;0,0110;16193,4644
147,4;9,19;0,0110;16197,0735
147,6;9,20;0,0110;16196,8917
147,8;9,22;0,0110;16196,8499
148,0;9,23;0,0110;16204,1664
148,2;9,24;0,0110;16206,3539
148,4;9,26;0,0110;16206,7994
148,6;9,27;0,0110;16209,7871
148,8;9,28;0,0110;16213,9133
149,0;9,30;0,0110;16213,4826
149,2;9,31;0,0110;16213,7389
149,4;9,32;0,0110;16219,9244
149,6;9,34;0,0110;16222,1566
149,8;9,35;0,0110;16223,0223
150,0;9,36;0,0110;16223,3412
150,2;9,38;0,0110;16231,0883
150,4;9,39;0,0110;16230,2524
150,6;9,40;0,0110;16229,8262
150,8;9,42;0,0110;16233,3697
151,0;9,43;0,0110;16238,8593
151,2;9,44;0,0110;16238,8906
151,4;9,46;0,0110;16238,1887
151,6;9,47;0,0110;16244,1999
151,8;9,48;0,0110;16247,2561
152,0;9,50;0,0110;16246,9715
152,2;9,51;0,0110;16248,0935
152,4;9,52;0,0110;16254,1166
152,6;9,54;0,0110;16254,3923
152,8;9,55;0,0110;16252,8798
153,0;9,56;0,0110;16258,7672
153,2;9,58;0,0110;16261,0784
153,4;9,59;0,0110;16262,7593
153,6;9,60;0,0110;16262,1319
153,8;9,62;0,0110;16270,6122
